ano,país,valor_fob_usd
2018,Zâmbia,18750434
2018,África do Sul,664032724
2018,Áustria,1167183942
2018,Índia,3867821907
2019,Afeganistão,454393
2019,"Aland, Ilhas",36037
2019,Albânia,1458450
2019,Alemanha,10833389190
2019,Andorra,11556
2019,Angola,140498465
2019,Anguilla,85623
2019,Antígua e Barbuda,143654
2019,Argentina,10650947790
2019,Argélia,1732846705
2019,Armênia,155672
2019,Arábia Saudita,2299606685
2019,Austrália,952352148
2019,Azerbaijão,390168
2019,Bahamas,981970
2019,Bangladesh,179861388
2019,Barbados,73512
2019,Barein,111866695
2019,Belarus,594153804
2019,Belize,1983294
2019,Bermudas,4886
2019,Bolívia,1365971470
2019,"Bonaire, Saint Eustatius e Saba",2427386
2019,Botsuana,18826
2019,Brasil,345990688
2019,Brunei,103055
2019,Bulgária,57982331
2019,Burkina Faso,4332
2019,Butão,236047
2019,Bélgica,1762003350
2019,Bósnia-Herzegovina,2158246
2019,Cabo Verde,8772
2019,Camarões,31538018
2019,Camboja,50337041
2019,Canadá,2437274159
2019,Catar,338280133
2019,"Cayman, Ilhas",1677105
2019,Cazaquistão,63742768
2019,Chade,107677
2019,Chile,3176588582
2019,China,36028297004
2019,Chipre,3738127
2019,"Christmas (Navidad), Ilha",32648
2019,"Cocos (Keeling), Ilhas",5560
2019,Colômbia,1446588496
2019,Comores,70422
2019,Congo,7230
2019,"Congo, República Democrática",115219674
2019,Coreia do Norte,66625
2019,Coreia do Sul,5049844942
2019,Costa Rica,49826396
2019,Costa do Marfim,152873946
2019,Coveite (Kuweit),97959841
2019,Croácia,22419607
2019,Cuba,8539874
2019,Curaçao,86131
2019,Dinamarca,918659796
2019,Djibuti,5497
2019,Dominica,11878
2019,Egito,314965566
2019,El Salvador,7300630
2019,Emirados Árabes Unidos,554564354
2019,Equador,82911684
2019,Eslováquia,158097931
2019,Eslovênia,84075628
2019,Espanha,2985831590
2019,Estados Unidos,34774253640
2019,Estônia,26550301
2019,Etiópia,98232
2019,Falkland (Malvinas),40814
2019,"Faroe, Ilhas",15241
2019,Fiji,89138
2019,Filipinas,281455128
2019,Finlândia,476339557
2019,França,4861530695
2019,Gabão,650569
2019,Gana,31040486
2019,Geórgia,8647361
2019,"Geórgia do Sul e Sandwich do Sul, Ilhas",242
2019,Gibraltar,134
2019,Granada,51978
2019,Groenlândia,71903
2019,Grécia,163078199
2019,Guadalupe,12139
2019,Guatemala,32470517
2019,Guiana,300692
2019,Guiana Francesa,63976
2019,Guiné,149664
2019,Guiné Equatorial,34015256
2019,Guiné-Bissau,851254
2019,Gâmbia,121601
2019,Haiti,2166850
2019,Honduras,13308343
2019,Hong Kong,608563529
2019,Hungria,348241155
2019,Indonésia,1311829574
2019,Iraque,234584520
2019,Irlanda,588067295
2019,Irã,116229972
2019,Islândia,12331711
2019,Israel,1218105620
2019,Itália,4685685874
2019,Iêmen,16601
2019,Jamaica,785568
2019,Japão,4739835880
2019,Jersey,3740
2019,Jordânia,27354461
2019,Kiribati,12064
2019,Laos,1574413
2019,Lesoto,42907
